DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	6	0.81	HORSUMRY.XLW	68.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	8	0.9	HORSUMRY.XLW	66.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	10	0.57	HORSUMRY.XLW	64.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	12	0.43	HORSUMRY.XLW	62.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	14	0.35	HORSUMRY.XLW	60.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	16	0.27	HORSUMRY.XLW	58.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	18	0.22	HORSUMRY.XLW	56.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	20	0.14	HORSUMRY.XLW	54.07714319
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	22	0.09	HORSUMRY.XLW	52.07714319
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	4	3.43	FRXSUMRY.XLW	13.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	6	2.6	FRXSUMRY.XLW	11.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	7	4.72	FRXSUMRY.XLW	10.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	8	6.62	FRXSUMRY.XLW	9.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	9	10.97	FRXSUMRY.XLW	8.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	10	3.36	FRXSUMRY.XLW	7.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	11	0.32	FRXSUMRY.XLW	6.53305767
LIMNO_PPR	FRX9394L3	Lake Fryxell	FRXLT1	1	1/7/1994	12	0	FRXSUMRY.XLW	5.53305767
